Fatura,ID_Cliente,CNPJ,Razao_Social,Nome_Fantasia,Situacao_Cadastral,Data_Situacao_Cadastral,Motivo_Situacao,Natureza_Juridica,Data_Inicio_Atividade,CNAE_Principal_Codigo,CNAE_Principal_Descricao,Porte,Capital_Social,Simples_Nacional,MEI,Email,Telefone,CEP_Receita,Logradouro_Receita,Numero_Receita,Complemento_Receita,Bairro_Receita,Municipio_Receita,UF_Receita
62,2624877,02835880000141,APM DA EM JOCINEIA DE MELO,APM DA EM JOCINEIA DE MELO,ATIVA,,SEM MOTIVO,,1998-06-25,9430800,Atividades de associações de defesa de direitos sociais,,0,,,,01142432118,06719052,DAS AMEIXEIRAS,451,,JARDIM PETROPOLIS,COTIA,SP
63,293802,06125086000165,LEC BRASIL GESTAO COMERCIAL LTDA,LEC BRASIL,ATIVA,2004-10-23,SEM MOTIVO,,2004-03-02,8299701,"Medição de consumo de energia elétrica, gás e água",,6937000,,,,1833022400,05001000,FRANCISCO MATARAZZO,404,SALA 01 CONJ 601 ANDAR 6,AGUA BRANCA,SAO PAULO,SP
64,40053,29400457000175,BELLA CALCADOS E ACESSORIOS LTDA,BELLA CALCADOS,ATIVA,2018-01-10,SEM MOTIVO,,2018-01-10,4782201,Comércio varejista de calçados,,120000,True,False,,1194886288,06460030,PIRACEMA,669,LOJA STBS075E TERREO,TAMBORE,BARUERI,SP
65,747675,13753335000122,A. DE O. M. PEREIRA,,ATIVA,2011-05-23,SEM MOTIVO,,2011-05-23,4789008,Comércio varejista de artigos fotográficos e para filmagem,,5000,True,True,,,17014040,,,,VILA NOVA SANTA CLARA,BAURU,SP
68,384266,49847361000167,CARTORIO DO REGISTRO CIVIL DAS PESSOAS NAT E ANEXOS,CARTORIO DO REGISTRO CIVIL DAS PESSOAS NAT E ANEXOS,ATIVA,1998-07-28,SEM MOTIVO,,1981-03-19,6912500,Cartórios,,0,,,,1832631093,19380000,BRASIL,105-A,,CENTRO,RIBEIRAO DOS INDIOS,SP
69,438984,25214506000124,CONDOMINIO CARIBBEAN RESIDENCE CLUB ARUBA,ARUBA,ATIVA,2016-06-23,SEM MOTIVO,,2016-06-23,8112500,Condomínios prediais,,0,,,,1934464400,13484500,CARLOS GUILHERME SCHNOOR,100,,CHACARA ANTONIETA,LIMEIRA,SP
70,1907487,21591194000117,21.591.194 RAQUEL DALANEZA PONGETTI,,ATIVA,2022-06-08,SEM MOTIVO,,2014-12-19,5612100,Serviços ambulantes de alimentação,,1000,True,True,,,17360290,,,,JARDIM PAULISTA,TORRINHA,SP
71,811550,12932443000280,FH & MARTINS TRANSPORTES PARAISO LTDA,,ATIVA,2013-07-25,SEM MOTIVO,,2013-07-25,4930202,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional",,516000,False,False,,1930532711,13611220,ALBINO ROEL,127,,JARDIM RESIDENCIAL MARIANA,LEME,SP
75,2449840,19428778000124,PASTORI E CIA TRANSPORTES LTDA.,PASTORI TRANSPORTES,ATIVA,2013-12-18,SEM MOTIVO,,2013-12-18,4930201,"Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal.",,30000,,,,1436561700,13498222,RALPHO ELISIO MONTEIRO DOS SANTOS,586,,PARQUE INDUSTRIAL E EMPRESARIAL CATHARINA BIAZIO,IRACEMAPOLIS,SP
76,506156,09027741000130,JOSE ANTONIO MOREIRA QUEIROZ MILANEZI,VITORIA GAS,ATIVA,2007-08-30,SEM MOTIVO,,2007-08-30,4784900,Comércio varejista de gás liqüefeito de petróleo (GLP),,20000,False,False,,,79610060,,,,JD ALVORADA,TRES LAGOAS,MS
